record_id,season,date,team,opponent,player,runs,balls,fours,sixes,strike_rate,wickets,overs_bowled,economy
69,2021,2023-08-01,Kolkata Knight Riders,Chennai Super Kings,Venkatesh Iyer,76,43,9,3,176.74,1,2.1,12.1
70,2023,2024-06-08,Lucknow Super Giants,Sunrisers Hyderabad,Ayush Badoni,7,44,1,0,15.91,2,1.6,6.8
71,2021,2024-05-05,Royal Challengers Bangalore,Delhi Capitals,Faf du Plessis,5,9,0,0,55.56,0,2.8,7.41
72,2022,2023-10-17,Delhi Capitals,Rajasthan Royals,Anrich Nortje,7,9,1,0,77.78,0,2.6,10.12
73,2023,2022-03-06,Royal Challengers Bangalore,Chennai Super Kings,Virat Kohli,39,55,9,0,70.91,0,2.4,7.51
74,2024,2024-01-07,Delhi Capitals,Lucknow Super Giants,Kuldeep Yadav,10,33,2,0,30.3,1,3.2,9.79
75,2021,2024-06-22,Chennai Super Kings,Delhi Capitals,Deepak Chahar,2,42,0,0,4.76,0,3.3,6.53
76,2025,2024-07-12,Punjab Kings,Delhi Capitals,Liam Livingstone,62,32,1,7,193.75,0,2.0,10.29
77,2022,2024-01-10,Rajasthan Royals,Punjab Kings,Trent Boult,42,23,6,0,182.61,0,1.9,7.66
78,2024,2024-04-16,Gujarat Titans,Mumbai Indians,Mohammed Shami,52,34,0,3,152.94,0,2.9,8.99
79,2024,2024-04-29,Mumbai Indians,Delhi Capitals,Ishan Kishan,9,13,2,0,69.23,0,3.9,9.83
80,2022,2021-04-29,Royal Challengers Bangalore,Rajasthan Royals,Dinesh Karthik,52,40,1,3,130.0,3,3.7,8.71
81,2021,2022-11-19,Royal Challengers Bangalore,Gujarat Titans,Mohammed Siraj,34,37,6,1,91.89,3,1.7,9.39
82,2024,2022-01-05,Kolkata Knight Riders,Lucknow Super Giants,Varun Chakravarthy,8,60,2,0,13.33,0,3.4,7.23
83,2021,2024-07-01,Delhi Capitals,Rajasthan Royals,Kuldeep Yadav,62,47,2,7,131.91,0,2.0,9.39
84,2025,2022-04-22,Sunrisers Hyderabad,Gujarat Titans,Heinrich Klaasen,30,49,7,0,61.22,0,3.3,5.53
85,2024,2024-11-26,Sunrisers Hyderabad,Punjab Kings,Pat Cummins,15,14,0,2,107.14,0,2.8,11.81
86,2024,2021-05-02,Chennai Super Kings,Lucknow Super Giants,Shivam Dube,18,51,4,0,35.29,0,3.3,7.21
87,2025,2025-01-11,Sunrisers Hyderabad,Chennai Super Kings,Heinrich Klaasen,68,59,6,5,115.25,0,3.7,8.91
88,2025,2024-10-14,Mumbai Indians,Royal Challengers Bangalore,Suryakumar Yadav,36,48,3,1,75.0,0,1.3,10.02
89,2021,2022-12-05,Punjab Kings,Royal Challengers Bangalore,Kagiso Rabada,3,62,0,0,4.84,1,1.9,8.05
90,2022,2024-06-03,Kolkata Knight Riders,Lucknow Super Giants,Sunil Narine,23,48,2,2,47.92,0,3.6,9.91
91,2022,2023-11-01,Punjab Kings,Royal Challengers Bangalore,Liam Livingstone,32,45,7,0,71.11,0,3.7,8.74
92,2023,2023-09-22,Gujarat Titans,Royal Challengers Bangalore,Shubman Gill,44,65,9,1,67.69,0,2.3,7.1
93,2023,2021-11-05,Kolkata Knight Riders,Punjab Kings,Sunil Narine,24,20,6,0,120.0,0,4.0,7.44
94,2024,2025-02-03,Delhi Capitals,Mumbai Indians,Kuldeep Yadav,95,54,0,7,175.93,1,3.7,11.1
95,2022,2024-10-25,Lucknow Super Giants,Rajasthan Royals,Nicholas Pooran,16,17,4,0,94.12,0,3.7,10.11
96,2023,2023-04-18,Punjab Kings,Mumbai Indians,Arshdeep Singh,16,51,1,2,31.37,0,2.2,6.73
97,2025,2022-10-11,Rajasthan Royals,Lucknow Super Giants,Ravichandran Ashwin,21,58,4,0,36.21,2,1.9,11.82
98,2021,2022-07-07,Punjab Kings,Chennai Super Kings,Liam Livingstone,86,60,10,6,143.33,2,3.4,7.98
99,2024,2021-12-10,Mumbai Indians,Rajasthan Royals,Tilak Varma,47,34,10,1,138.24,0,3.5,12.35
100,2021,2024-09-20,Kolkata Knight Riders,Gujarat Titans,Shreyas Iyer,71,61,5,3,116.39,0,2.9,8.73
101,2022,2023-05-14,Mumbai Indians,Chennai Super Kings,Ishan Kishan,46,37,6,2,124.32,0,2.1,8.47
102,2023,2024-04-21,Chennai Super Kings,Royal Challengers Bangalore,Ruturaj Gaikwad,58,42,7,3,138.1,0,3.2,7.94
103,2024,2022-05-09,Gujarat Titans,Rajasthan Royals,Shubman Gill,67,49,8,2,136.73,0,1.8,6.81
104,2021,2023-04-29,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,35,28,4,1,125.0,0,2.7,9.42
105,2025,2024-05-17,Royal Challengers Bangalore,Chennai Super Kings,Virat Kohli,78,52,9,3,150.0,0,1.6,7.32
106,2022,2023-04-03,Rajasthan Royals,Sunrisers Hyderabad,Yashasvi Jaiswal,73,48,10,2,152.08,0,1.2,8.46
107,2023,2024-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Andre Russell,41,22,3,4,186.36,1,2.4,9.18
108,2024,2025-04-02,Gujarat Titans,Delhi Capitals,Sai Sudharsan,54,43,6,1,125.58,0,2.1,7.35
109,2021,2022-04-14,Punjab Kings,Chennai Super Kings,Shikhar Dhawan,63,47,8,2,134.04,0,1.4,8.72
110,2025,2023-05-07,Sunrisers Hyderabad,Rajasthan Royals,Travis Head,81,52,7,5,155.77,0,1.8,9.34
111,2022,2024-04-25,Lucknow Super Giants,Mumbai Indians,KL Rahul,57,44,6,2,129.55,0,2.2,8.17
112,2023,2025-03-30,Delhi Capitals,Punjab Kings,Rishabh Pant,42,31,5,2,135.48,0,2.8,10.31
113,2024,2023-05-21,Rajasthan Royals,Royal Challengers Bangalore,Sanju Samson,66,45,5,4,146.67,0,1.7,7.85
114,2021,2024-04-04,Mumbai Indians,Delhi Capitals,Rohit Sharma,34,29,5,1,117.24,0,2.5,8.42
115,2025,2023-04-12,Chennai Super Kings,Rajasthan Royals,Shivam Dube,49,28,4,3,175.0,0,1.3,9.67
116,2022,2024-05-01,Kolkata Knight Riders,Punjab Kings,Sunil Narine,38,24,5,2,158.33,2,3.4,7.19
117,2023,2025-04-08,Royal Challengers Bangalore,Mumbai Indians,Faf du Plessis,62,47,7,3,131.91,0,2.6,6.83
118,2024,2023-04-25,Gujarat Titans,Lucknow Super Giants,Rashid Khan,19,15,1,1,126.67,3,4.0,6.25
119,2021,2022-05-20,Delhi Capitals,Rajasthan Royals,Axar Patel,28,20,3,1,140.0,2,3.6,7.02
120,2025,2024-05-11,Sunrisers Hyderabad,Lucknow Super Giants,Heinrich Klaasen,74,41,5,6,180.49,0,2.1,8.91
121,2022,2023-05-05,Chennai Super Kings,Mumbai Indians,Ravindra Jadeja,44,27,4,2,162.96,2,3.8,6.44
122,2023,2024-04-28,Rajasthan Royals,Delhi Capitals,Jos Buttler,57,39,6,3,146.15,0,1.5,8.37
123,2024,2025-04-15,Kolkata Knight Riders,Rajasthan Royals,Rinku Singh,35,21,2,3,166.67,0,1.7,9.52
124,2021,2023-05-10,Mumbai Indians,Royal Challengers Bangalore,Suryakumar Yadav,72,49,8,2,146.94,0,2.4,7.63
125,2025,2022-04-20,Punjab Kings,Delhi Capitals,Liam Livingstone,51,35,4,3,145.71,1,2.9,8.16
126,2023,2024-05-03,Gujarat Titans,Chennai Super Kings,David Miller,39,27,3,2,144.44,0,2.2,7.44
127,2022,2025-04-23,Sunrisers Hyderabad,Delhi Capitals,Abhishek Sharma,68,45,7,4,151.11,0,1.9,8.62
128,2024,2023-05-16,Royal Challengers Bangalore,Chennai Super Kings,Glenn Maxwell,55,29,5,4,189.66,1,2.7,9.73
129,2021,2024-04-07,Punjab Kings,Rajasthan Royals,Jitesh Sharma,31,19,3,2,163.16,0,1.5,10.14
130,2025,2023-05-13,Lucknow Super Giants,Gujarat Titans,Nicholas Pooran,61,34,4,5,179.41,0,2.3,8.27
131,2022,2024-04-14,Delhi Capitals,Kolkata Knight Riders,David Warner,49,38,6,1,128.95,0,1.4,7.92
132,2023,2025-04-05,Mumbai Indians,Rajasthan Royals,Tilak Varma,63,44,5,3,143.18,0,2.6,9.13
133,2024,2022-05-03,Chennai Super Kings,Delhi Capitals,MS Dhoni,27,14,2,2,192.86,0,1.8,8.75
134,2021,2023-04-09,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,52,41,6,2,126.83,0,2.2,7.36
135,2025,2024-05-05,Royal Challengers Bangalore,Gujarat Titans,Rajat Patidar,47,26,4,3,180.77,0,1.6,8.84
136,2022,2023-05-19,Punjab Kings,Rajasthan Royals,Sam Curran,36,25,3,2,144.0,2,3.3,7.41
137,2023,2024-04-19,Chennai Super Kings,Lucknow Super Giants,Devon Conway,70,53,8,2,132.08,0,1.3,8.93
138,2024,2025-04-10,Delhi Capitals,Royal Challengers Bangalore,Axar Patel,43,29,4,2,148.28,2,3.9,6.78
139,2021,2023-05-02,Kolkata Knight Riders,Sunrisers Hyderabad,Venkatesh Iyer,58,40,6,3,145.0,0,2.0,8.12
140,2025,2024-04-30,Mumbai Indians,Lucknow Super Giants,Hardik Pandya,51,33,4,3,154.55,1,2.7,9.26
141,2022,2023-04-16,Rajasthan Royals,Gujarat Titans,Yashasvi Jaiswal,82,54,11,3,151.85,0,1.9,7.67
142,2023,2024-05-08,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,64,48,7,2,133.33,0,1.5,6.92
143,2024,2025-04-19,Kolkata Knight Riders,Punjab Kings,Andre Russell,54,25,3,5,216.0,1,2.4,8.36
144,2021,2022-04-06,Sunrisers Hyderabad,Rajasthan Royals,Aiden Markram,47,36,5,2,130.56,1,3.7,7.13
145,2025,2024-05-14,Chennai Super Kings,Rajasthan Royals,Ruturaj Gaikwad,76,51,8,3,149.02,0,1.8,8.04
146,2022,2023-04-30,Mumbai Indians,Punjab Kings,Ishan Kishan,61,43,7,2,141.86,0,2.3,9.11
147,2023,2024-04-23,Delhi Capitals,Sunrisers Hyderabad,Rishabh Pant,53,36,5,3,147.22,0,2.1,7.68
148,2024,2025-04-27,Gujarat Titans,Royal Challengers Bangalore,Shubman Gill,69,46,8,2,150.0,0,1.6,6.97
149,2021,2023-05-04,Rajasthan Royals,Kolkata Knight Riders,Sanju Samson,45,37,4,2,121.62,0,2.7,8.48
150,2025,2024-05-07,Sunrisers Hyderabad,Mumbai Indians,Travis Head,77,42,9,4,183.33,0,1.9,9.02
151,2022,2023-04-22,Lucknow Super Giants,Chennai Super Kings,KL Rahul,48,35,5,2,137.14,0,2.4,8.33
152,2023,2024-05-02,Punjab Kings,Royal Challengers Bangalore,Shikhar Dhawan,56,41,6,2,136.59,0,1.8,7.54
153,2024,2025-04-04,Kolkata Knight Riders,Delhi Capitals,Shreyas Iyer,61,45,6,3,135.56,0,2.2,8.67
154,2021,2023-05-08,Chennai Super Kings,Mumbai Indians,Ravindra Jadeja,33,21,3,2,157.14,2,3.6,6.58
155,2025,2024-04-18,Rajasthan Royals,Gujarat Titans,Jos Buttler,88,57,10,4,154.39,0,1.7,7.91
156,2022,2023-04-28,Royal Challengers Bangalore,Delhi Capitals,Faf du Plessis,73,52,8,3,140.38,0,2.5,7.38
157,2023,2024-05-09,Mumbai Indians,Kolkata Knight Riders,Suryakumar Yadav,67,39,6,4,171.79,0,1.6,8.13
158,2024,2025-04-13,Punjab Kings,Sunrisers Hyderabad,Arshdeep Singh,19,28,2,0,67.86,3,4.0,6.91
159,2021,2023-05-12,Gujarat Titans,Delhi Capitals,Rashid Khan,25,17,2,1,147.06,4,4.0,5.84
160,2025,2024-05-18,Chennai Super Kings,Royal Challengers Bangalore,Shivam Dube,57,31,5,4,183.87,0,1.4,9.37
161,2022,2023-05-06,Rajasthan Royals,Mumbai Indians,Shimron Hetmyer,48,29,3,3,165.52,0,2.0,8.44
162,2023,2024-04-13,Kolkata Knight Riders,Royal Challengers Bangalore,Sunil Narine,43,24,5,3,179.17,2,3.8,7.18
163,2024,2025-04-21,Delhi Capitals,Punjab Kings,David Warner,71,50,8,2,142.0,0,1.3,8.36
164,2021,2023-05-17,Lucknow Super Giants,Rajasthan Royals,Nicholas Pooran,45,27,3,4,166.67,0,1.7,7.93
165,2025,2024-04-24,Gujarat Titans,Chennai Super Kings,David Miller,58,42,5,2,138.1,0,2.6,8.18
166,2022,2023-05-11,Royal Challengers Bangalore,Sunrisers Hyderabad,Virat Kohli,91,58,11,2,156.9,0,1.4,7.64
167,2023,2024-05-13,Rajasthan Royals,Delhi Capitals,Yashasvi Jaiswal,64,38,8,2,168.42,0,2.1,9.03
168,2024,2025-04-06,Sunrisers Hyderabad,Chennai Super Kings,Heinrich Klaasen,79,46,6,5,171.74,0,1.8,8.31
169,2021,2023-04-20,Punjab Kings,Mumbai Indians,Liam Livingstone,53,32,4,4,165.63,1,2.9,7.56
170,2025,2024-05-16,Royal Challengers Bangalore,Gujarat Titans,Rajat Patidar,72,38,7,5,189.47,0,1.5,8.72
171,2022,2023-05-15,Kolkata Knight Riders,Lucknow Super Giants,Rinku Singh,46,28,3,3,164.29,0,1.7,9.16
172,2023,2024-04-27,Chennai Super Kings,Sunrisers Hyderabad,MS Dhoni,34,15,3,2,226.67,0,2.0,7.88
173,2024,2025-04-11,Mumbai Indians,Delhi Capitals,Rohit Sharma,59,44,7,2,134.09,0,1.4,8.52
174,2021,2023-05-03,Gujarat Titans,Rajasthan Royals,Sai Sudharsan,77,54,8,1,142.59,0,2.3,7.61
175,2025,2024-05-10,Sunrisers Hyderabad,Lucknow Super Giants,Abhishek Sharma,65,39,6,4,166.67,0,1.6,8.95
176,2022,2023-04-07,Delhi Capitals,Mumbai Indians,Axar Patel,39,24,4,2,162.5,2,3.8,6.47
177,2023,2024-04-29,Rajasthan Royals,Punjab Kings,Ravichandran Ashwin,31,18,4,1,172.22,3,4.0,7.22
178,2024,2025-04-03,Lucknow Super Giants,Gujarat Titans,Marcus Stoinis,69,44,6,4,156.82,1,2.5,9.42
179,2021,2023-05-09,Mumbai Indians,Chennai Super Kings,Hardik Pandya,42,25,2,3,168.0,1,3.3,8.16
180,2025,2024-05-12,Kolkata Knight Riders,Rajasthan Royals,Andre Russell,63,31,4,5,203.23,2,2.6,7.84
181,2022,2023-04-11,Royal Challengers Bangalore,Lucknow Super Giants,Glenn Maxwell,57,33,5,4,172.73,1,3.2,8.39
182,2023,2024-05-04,Chennai Super Kings,Punjab Kings,Ravindra Jadeja,36,22,3,2,163.64,2,3.7,6.88
183,2024,2025-04-09,Delhi Capitals,Rajasthan Royals,Rishabh Pant,61,43,6,3,141.86,0,1.8,8.04
184,2021,2023-05-18,Gujarat Titans,Royal Challengers Bangalore,Mohammed Shami,8,14,1,0,57.14,4,4.0,5.97
185,2025,2024-05-06,Sunrisers Hyderabad,Punjab Kings,Pat Cummins,29,17,2,2,170.59,3,4.0,6.42
186,2022,2023-04-24,Mumbai Indians,Kolkata Knight Riders,Ishan Kishan,54,37,5,3,145.95,0,1.9,8.74
187,2023,2024-05-15,Royal Challengers Bangalore,Chennai Super Kings,Virat Kohli,83,55,9,3,150.91,0,1.5,7.93
188,2024,2025-04-16,Rajasthan Royals,Gujarat Titans,Sanju Samson,58,41,5,3,141.46,0,2.0,8.61
189,2021,2023-04-26,Delhi Capitals,Sunrisers Hyderabad,Kuldeep Yadav,12,9,2,0,133.33,3,4.0,6.32
190,2025,2024-05-08,Mumbai Indians,Kolkata Knight Riders,Suryakumar Yadav,81,47,7,5,172.34,0,1.2,9.24
191,2022,2023-05-01,Chennai Super Kings,Punjab Kings,Ruturaj Gaikwad,62,48,7,2,129.17,0,2.4,7.82
192,2023,2024-04-16,Gujarat Titans,Lucknow Super Giants,Rashid Khan,23,14,2,1,164.29,3,4.0,6.19
193,2024,2025-04-25,Delhi Capitals,Kolkata Knight Riders,Axar Patel,47,29,4,2,162.07,2,3.8,7.43
194,2021,2023-05-20,Rajasthan Royals,Chennai Super Kings,Jos Buttler,94,58,10,5,162.07,0,1.6,8.22
195,2025,2024-05-03,Sunrisers Hyderabad,Rajasthan Royals,Travis Head,73,45,8,4,162.22,0,1.7,9.08
196,2022,2023-04-13,Punjab Kings,Gujarat Titans,Sam Curran,41,26,4,2,157.69,2,3.9,7.17
197,2023,2024-05-19,Lucknow Super Giants,Chennai Super Kings,KL Rahul,68,51,7,2,133.33,0,2.2,8.48
198,2024,2025-04-20,Royal Challengers Bangalore,Delhi Capitals,Faf du Plessis,74,49,8,3,151.02,0,1.3,7.76
199,2021,2023-04-19,Kolkata Knight Riders,Sunrisers Hyderabad,Venkatesh Iyer,55,34,6,2,161.76,0,2.8,8.93
200,2025,2024-05-20,Gujarat Titans,Mumbai Indians,Shubman Gill,86,57,9,4,150.88,0,1.5,7.21
201,2024,2024-12-16,Sunrisers Hyderabad,Chennai Super Kings,Pat Cummins,69,60,2,5,115.0,0,4.0,8.19
202,2022,2022-12-03,Kolkata Knight Riders,Mumbai Indians,Shreyas Iyer,54,34,8,3,158.82,1,1.7,7.83
203,2023,2024-12-13,Kolkata Knight Riders,Chennai Super Kings,Shreyas Iyer,39,31,0,3,125.81,0,1.3,5.46
204,2025,2021-06-30,Mumbai Indians,Delhi Capitals,Jasprit Bumrah,28,30,3,2,93.33,1,3.3,6.27
205,2023,2024-08-07,Kolkata Knight Riders,Sunrisers Hyderabad,Venkatesh Iyer,86,54,5,3,159.26,0,1.4,10.22
206,2022,2021-08-03,Sunrisers Hyderabad,Delhi Capitals,Heinrich Klaasen,75,40,2,6,187.5,0,1.1,7.82
207,2024,2023-08-01,Gujarat Titans,Rajasthan Royals,Mohammed Shami,9,31,2,0,29.03,0,2.6,7.03
208,2022,2021-07-28,Delhi Capitals,Royal Challengers Bangalore,Prithvi Shaw,52,40,6,2,130.0,0,1.8,7.71
209,2021,2024-04-01,Punjab Kings,Rajasthan Royals,Shikhar Dhawan,24,51,0,4,47.06,0,2.8,5.5
210,2021,2023-12-08,Kolkata Knight Riders,Lucknow Super Giants,Rinku Singh,21,18,4,0,116.67,0,1.6,10.84
211,2024,2022-08-04,Kolkata Knight Riders,Delhi Capitals,Sunil Narine,41,40,4,4,102.5,0,2.9,7.54
212,2023,2021-10-19,Gujarat Titans,Punjab Kings,Rahul Tewatia,92,56,7,5,164.29,2,2.1,8.35
213,2025,2022-09-17,Kolkata Knight Riders,Royal Challengers Bangalore,Shreyas Iyer,74,40,9,6,185.0,0,1.6,6.95
214,2025,2024-12-01,Kolkata Knight Riders,Gujarat Titans,Venkatesh Iyer,87,65,5,4,133.85,1,2.5,10.7
215,2024,2023-03-23,Punjab Kings,Royal Challengers Bangalore,Kagiso Rabada,4,15,1,0,26.67,0,3.7,12.73
216,2021,2024-12-29,Gujarat Titans,Mumbai Indians,Shubman Gill,0,8,0,0,0.0,1,1.7,10.57
217,2021,2023-05-05,Kolkata Knight Riders,Lucknow Super Giants,Sunil Narine,15,8,3,0,187.5,0,2.6,8.33
218,2021,2022-11-09,Gujarat Titans,Delhi Capitals,Rashid Khan,8,6,2,0,133.33,1,3.7,6.01
